batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
664040,0.282,0.245,0.348,0.333,1266,0.272,0.242,0.312,brandon lowe,PIT
670764,0.282,0.202,0.413,0.281,777,0.303,0.281,0.282,taylor walls,TB
677800,0.282,0.249,0.313,0.286,1186,0.41,0.345,0.285,wilyer abreu,BOS
596115,0.281,0.251,0.339,0.263,718,0.369,0.361,0.298,trevor story,BOS
680977,0.281,0.203,0.364,0.233,455,0.451,0.374,0.329,brendan donovan,SEA
686780,0.281,0.24,0.319,0.277,569,0.428,0.383,0.35,pedro pagés,STL
668904,0.281,0.272,0.298,0.298,712,0.337,0.321,0.335,royce lewis,MIN
605137,0.281,0.249,0.366,0.296,1179,0.24,0.245,0.276,josh bell,MIN
682998,0.281,0.267,0.359,0.325,1180,0.294,0.311,0.322,corbin carroll,AZ
607208,0.28,0.215,0.349,0.305,1252,0.245,0.296,0.355,trea turner,PHI
686452,0.28,0.256,0.305,0.26,489,0.444,0.408,0.339,drew millas,WSH
694497,0.28,0.199,0.415,0.325,1021,0.261,0.284,0.306,evan carter,TEX
655316,0.28,0.198,0.354,0.366,547,0.368,0.321,0.309,andruw monasterio,BOS
679529,0.28,0.229,0.384,0.323,1284,0.359,0.319,0.322,spencer torkelson,DET
621566,0.28,0.245,0.341,0.245,1431,0.346,0.248,0.258,matt olson,ATL
680869,0.28,0.242,0.339,0.25,830,0.424,0.35,0.34,zack gelof,ATH
673548,0.279,0.206,0.411,0.263,1020,0.298,0.252,0.285,seiya suzuki,CHC
519317,0.279,0.202,0.368,0.237,451,0.383,0.333,0.316,giancarlo stanton,NYY
665804,0.279,0.236,0.345,0.302,555,0.488,0.366,0.333,miguel amaya,CHC
683146,0.279,0.249,0.328,0.251,1057,0.296,0.303,0.286,brett baty,NYM
687363,0.279,0.233,0.391,0.273,724,0.238,0.322,0.296,victor scott,STL
666397,0.279,0.264,0.383,0.291,914,0.264,0.35,0.358,edouard julien,COL
802415,0.279,0.219,0.366,0.309,932,0.29,0.306,0.327,chandler simpson,TB
621439,0.278,0.233,0.385,0.257,1060,0.371,0.289,0.285,byron buxton,MIN
